Xaux_1,Xaux_2,Xaux_3,Xaux_4,Xaux_5,Xaux_6,Xaux_7,Xaux_8,Xaux_9,Var2
0.21935,0.46456,-0.54436,0.065052,0.31719,0.38099,-0.40105,0.114,0.14246,d
0.053392,0.24908,-0.79,0.042729,0.13602,0.15776,-0.64854,0.065265,0.024932,b
0.21526,0.52013,-0.53372,0.046732,0.32042,0.36008,-0.36651,0.098686,0.080372,d
0.031008,0.21506,-0.55903,0.0087057,0.090687,0.12375,-0.52454,0.019153,0.0050517,d
0.16827,0.46018,-0.49153,0.17045,0.52024,0.22039,-0.3758,0.29921,0.064865,d
0.15972,0.4026,-0.58516,0.050939,0.23716,0.36529,-0.40441,0.067961,0.10553,d
0.42742,0.71753,-0.56872,0.10946,0.39011,0.56639,-0.3822,0.17461,0.18691,d
0.013361,0.13045,-0.61757,0.0070422,0.065488,0.087672,-0.6003,0.015222,0.0048588,c
0.17304,0.42084,-0.72908,0.036493,0.16086,0.29565,-0.5038,0.051743,0.10393,b
0.20995,0.54296,-0.54946,0.15837,0.45342,0.35592,-0.35568,0.18533,0.048542,d
0.12355,0.40667,-0.53311,0.094055,0.37316,0.23632,-0.38442,0.15819,0.037934,d
0.10504,0.34816,-0.76137,0.015711,0.10515,0.25405,-0.51185,0.023486,0.049753,b
0.026116,0.19602,-0.59365,0.016067,0.13036,0.11448,-0.47297,0.030281,0.0049418,d
0.25529,0.48424,-0.59113,0.052947,0.19982,0.45192,-0.46848,0.06864,0.17997,d
0.036796,0.20675,-0.6628,0.0049097,0.065245,0.14911,-0.5425,0.012842,0.017065,c
0.025986,0.16243,-0.65597,0.0052064,0.047746,0.12364,-0.57825,0.0089951,0.016051,d
0.01295,0.11372,-0.64817,0.0023758,0.033522,0.079781,-0.62573,0.0057691,0.0081977,c
0.047366,0.24201,-0.62567,0.0081096,0.068418,0.17568,-0.58195,0.01437,0.018917,d
0.16103,0.45158,-0.54546,0.080359,0.31847,0.3074,-0.37928,0.10154,0.06302,d
0.034197,0.19218,-0.71854,0.0071064,0.061007,0.14493,-0.58231,0.012172,0.019141,c
0.12062,0.34316,-0.75342,0.034877,0.14554,0.27415,-0.58591,0.044309,0.078082,b
0.05775,0.24763,-0.49511,0.022961,0.17222,0.21295,-0.47012,0.045677,0.03259,c
0.029101,0.20723,-0.73424,0.010858,0.083945,0.11758,-0.56867,0.018956,0.0059842,b
0.13744,0.4091,-0.6734,0.039352,0.16046,0.32096,-0.49394,0.057142,0.057002,b
0.2713,0.55999,-0.63783,0.1401,0.39555,0.37395,-0.39073,0.18895,0.13141,b
0.025658,0.17348,-0.53731,0.013702,0.11627,0.12681,-0.49068,0.025892,0.011863,d
0.046995,0.25451,-0.59216,0.019474,0.13585,0.17329,-0.54709,0.037446,0.012734,d
0.15448,0.3705,-0.75665,0.040974,0.17844,0.36537,-0.50348,0.05618,0.11355,b
0.10133,0.37872,-0.55279,0.041457,0.23156,0.26306,-0.43741,0.083367,0.022598,c
0.055712,0.26973,-0.50893,0.040801,0.19353,0.18491,-0.45627,0.058526,0.018462,c
0.036255,0.20939,-0.76178,0.0042476,0.040155,0.13986,-0.71375,0.0080383,0.015948,b
0.011169,0.12237,-0.64368,0.0027041,0.034188,0.077067,-0.65696,0.0060823,0.0031613,c
0.18933,0.45531,-0.57948,0.030924,0.17077,0.38747,-0.47452,0.045269,0.10009,d
0.20927,0.48391,-0.49874,0.074514,0.37125,0.37537,-0.37964,0.14917,0.10797,d
0.062576,0.29051,-0.48069,0.08997,0.35709,0.18011,-0.37199,0.12461,0.021658,d
0.027743,0.17502,-0.53578,0.025568,0.13896,0.11078,-0.48714,0.035566,0.014431,d
0.24994,0.54962,-0.41717,0.12101,0.47014,0.35215,-0.33009,0.18952,0.10439,d
0.018289,0.15041,-0.60391,0.0051512,0.052334,0.090642,-0.60583,0.010074,0.0073006,d
0.24606,0.44917,-0.54816,0.10604,0.40462,0.387,-0.35816,0.15886,0.19781,d
0.038154,0.21183,-0.60833,0.01081,0.088819,0.14647,-0.54527,0.018914,0.017856,d
